City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,College,64.86,-147.8,25.0,85,90,3.36,US,1603312212
341,Namatanai,-3.67,152.43,79.86,78,93,6.78,PG,1603311808
342,Anadyr,64.75,177.48,39.2,80,20,13.42,RU,1603312231
343,Puerto Quijarro,-17.78,-57.77,82.33,63,97,7.23,BO,1603312231
344,Isangel,-19.55,169.27,80.6,78,20,6.93,VU,1603312151
345,Sabang,5.89,95.32,82.58,77,100,12.48,ID,1603311816
346,Bulgan,48.81,103.53,28.63,90,0,2.75,MN,1603312232
347,Akureyri,65.68,-18.09,32.0,83,76,2.24,IS,1603312232
348,Portland,45.52,-122.68,57.99,54,75,12.75,US,1603311650
349,Onzaga,6.34,-72.82,68.36,74,84,0.87,CO,1603312232
350,Bukachacha,52.98,116.92,19.8,86,0,2.08,RU,1603311864
351,Ulcinj,41.93,19.22,53.6,76,9,4.7,ME,1603312232
352,Flinders,-34.58,150.86,62.01,88,89,1.01,AU,1603311853
353,Salalah,17.02,54.09,82.4,88,20,2.24,OM,1603311809
354,Krasnogorskoye,52.3,86.2,40.51,72,53,5.66,RU,1603312233
355,Waipawa,-41.41,175.52,59.0,71,5,12.75,NZ,1603312233
356,Yalta,44.5,34.17,54.46,65,8,1.34,UA,1603312233
357,Port Hardy,50.7,-127.42,50.0,61,20,11.41,CA,1603311748
358,Sioux Lookout,50.1,-91.92,33.8,86,90,2.24,CA,1603312233
359,Lālganj,25.87,85.18,75.2,83,0,5.26,IN,1603312233
360,Andenes,69.31,16.12,33.8,69,0,12.75,NO,1603312233
361,Bredy,52.42,60.34,34.65,86,77,13.13,RU,1603312234
362,Dembī Dolo,8.53,34.8,57.43,98,45,3.24,ET,1603312234
363,Henties Bay,-22.12,14.28,61.0,88,91,1.01,NA,1603312234
364,Atlantic City,39.36,-74.42,73.0,83,1,8.05,US,1603312227
365,Pathalgaon,22.57,83.47,68.67,73,7,5.79,IN,1603312234
366,Libreville,0.39,9.45,77.02,89,99,6.11,GA,1603311985
367,Rūdsar,37.14,50.29,62.6,100,90,9.17,IR,1603312235
